,level_0,index,studyName,location,latitude,longitude,vegetation,map,mat,grouping,lai,species,speciesMatched,family,pft,growingCondition,status,light,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,h.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc
38,3625,3625,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,100.0,,,,,,,,,,,,0.18679264509450197,,51.240287116255395,,25.146,5.15112,,0.48768,1.3,8.0772,19.99488,88.99632,,,,,,370.22832,,,,,,,,,,,,,,,,
39,3627,3627,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,72.0,,,,,,,,,,,,0.215026385829814,,52.0166440474294,,26.0604,5.7912,,0.5232399999999999,1.3,8.138160000000001,20.2692,120.92976000000002,,,,,,403.9076664,,,,,,,,,,,,,,,,
40,3628,3628,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,210.0,,,,,,,,,,,,0.329486538283148,,36.611358438522295,,26.609040000000004,15.118079999999999,,0.6477,1.3,6.82752,11.490960000000001,68.40288000000001,,,,,,429.68031119999995,,,,,,,,,,,,,,,,
41,3635,3635,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,20.0,,,,,,,,,,,,0.00182921399954197,,2.12768497302956,,3.048,0.9144,,0.048260000000000004,1.3,1.64592,2.1336,1.093176,,,,,,0.9811368,,,,,,,,,,,,,,,,
42,3642,3642,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,18.0,,,,,,,,,,,,0.00342534255869908,,2.9886823215120204,,3.3528,0.762,,0.06604,1.3,1.95072,2.5908,2.8930607999999998,,,,,,2.65587336,,,,,,,,,,,,,,,,
43,3644,3644,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,1.0,,31.0,,,,,,,,,,,,0.00397258663612438,,7.296587699003969,,3.3832800000000005,1.12776,,0.07112,1.3,3.048,2.25552,0.8931384,,,,,,2.58406848,,,,,,,,,,,,,,,,
44,3665,3665,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,217.0,,,,,,,,,,,,0.496416250197027,,117.329859858754,,34.381440000000005,10.45464,,0.79502,1.3,12.222480000000001,23.9268,95.80032,,,,,,536.97168,,,,,,,,,,,,,,,,
45,3668,3668,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,181.0,,,,,,,,,,,,0.502780496134492,,87.85748282493691,,36.8808,9.692639999999999,,0.8001,1.3,10.57656,27.188159999999996,184.79664,,,,,,821.138472,,,,,,,,,,,,,,,,
46,3673,3673,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,16.0,,,,,,,,,,,,0.00693682538884474,,2.6267715716414304,,4.23672,0.70104,,0.09398,1.3,1.8288,3.53568,4.0569983999999994,,,,,,4.38531408,,,,,,,,,,,,,,,,
47,3674,3674,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,7.0,,,,,,,,,,,,0.00518868458595838,,3.6782098590679,,4.23672,0.0,,0.08127999999999999,1.3,2.16408,4.23672,2.4820992000000004,,,,,,3.43493136,,,,,,,,,,,,,,,,
